"day_local","take_off","datetime_utc","epoch","dji_lat","dji_long","dji_alt","temp","hum","pres","dewtemp","temp_k","svp","avp","mratio","pottemp","vpottemp","dji_status","wspd","dir","u","v"
20230309,"09",2023-03-08 23:34:19,1678318459,-23.5044166255698,152.093407751221,10.77,27.69,82.1,1010.18,24.36,301.19,37.06,30.42,19.31,300.32,303.86,"start",3.3,135,-2.333,2.333
20230309,"09",2023-03-08 23:34:20,1678318460,-23.5044159665641,152.09340741472,13.03,27.49,82.3,1009.93,24.2,300.99,36.63,30.14,19.14,300.14,303.64,"ascent",3.3,135,-2.331,2.331
20230309,"09",2023-03-08 23:34:21,1678318461,-23.5044154163874,152.093406767283,16.43,27.37,82.5,1009.58,24.13,300.87,36.37,30.01,19.05,300.05,303.54,"ascent",3.3,135,-2.328,2.328
20230309,"09",2023-03-08 23:34:22,1678318462,-23.5044151767879,152.093406433807,19.51,27.28,82.7,1009.24,24.08,300.78,36.18,29.92,19,299.99,303.47,"ascent",3.3,135,-2.326,2.326
20230309,"09",2023-03-08 23:34:23,1678318463,-23.5044149836279,152.093406243227,22.6,27.21,82.8,1008.85,24.03,300.71,36.03,29.83,18.95,299.95,303.42,"ascent",3.3,135,-2.324,2.324
20230309,"09",2023-03-08 23:34:24,1678318464,-23.5044148147968,152.0934064432,25.75,27.18,83.2,1008.5,24.08,300.68,35.97,29.93,19.02,299.95,303.43,"ascent",3.3,135,-2.321,2.321
20230309,"09",2023-03-08 23:34:25,1678318465,-23.5044147965539,152.093406699405,28.75,27.17,83.5,1008.2,24.13,300.67,35.95,30.02,19.09,299.97,303.46,"ascent",3.3,135,-2.319,2.319
20230309,"09",2023-03-08 23:34:26,1678318466,-23.504415125496,152.093407448758,31.6,27.09,83.4,1007.8,24.03,300.59,35.78,29.84,18.98,299.92,303.4,"ascent",3.3,135,-2.317,2.317
20230309,"09",2023-03-08 23:34:27,1678318467,-23.5044155634642,152.093407517188,34.55,27.1,83.5,1007.54,24.06,300.6,35.8,29.89,19.02,299.96,303.44,"ascent",3.3,135,-2.314,2.314
20230309,"09",2023-03-08 23:34:28,1678318468,-23.5044160195979,152.093407281674,37.65,27.04,83.7,1007.18,24.04,300.54,35.67,29.86,19,299.93,303.4,"ascent",3.3,135,-2.312,2.312
20230309,"09",2023-03-08 23:34:29,1678318469,-23.5044164323551,152.093407263663,40.8,26.98,83.7,1006.86,23.99,300.48,35.55,29.75,18.94,299.89,303.36,"ascent",3.3,135,-2.31,2.31
20230309,"09",2023-03-08 23:34:30,1678318470,-23.5044168343376,152.093407845912,43.65,26.94,83.9,1006.54,23.99,300.44,35.46,29.76,18.95,299.88,303.35,"ascent",3.3,135,-2.307,2.307
