time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2023-03-09 04:55:13,-23.506779421626,152.091496260917,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1.066874,0.2,0,0,0,19,5,0,1.066874,0,0,0,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,6,P-GPS,
100,2023-03-09 04:55:13,-23.5067794273612,152.091496227704,0,,,1.066874,0.2,0,0.00344652,0.00344652,19,5,0,1.066874,0,0,0.00344652,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
200,2023-03-09 04:55:13,-23.506779425377,152.091496241152,0,,,1.066874,0.2,0,0.00205834,0.00483553,19,5,0,1.066874,0,0,0.00344652,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
300,2023-03-09 04:55:13,-23.506779430187,152.091496215542,0,,,1.066874,0.2,0,0.00472418,0.00750137,19,5,0,1.066874,0,0,0.00472418,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
400,2023-03-09 04:55:14,-23.5067794290042,152.091496226194,0,,,1.066874,0.2,0,0.00363483,0.00859555,19,5,0,1.066874,0,0,0.00472418,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
500,2023-03-09 04:55:14,-23.5067794343639,152.091496363881,0,,,1.066874,0.2,0,0.0105952,0.0226493,19,5,0,1.066874,0,0,0.0105952,0,0,0,327.4, 0.2, -0.5,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
600,2023-03-09 04:55:14,-23.5067794341718,152.091496387399,0,,,1.066874,0.2,0,0.0129735,0.0250476,19,5,0,1.066874,0,0,0.0129735,0,0,0,327.4, 0.2, -0.5,0,0,367,364,472,1666,-100,-100,-84,97,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,"Setting new Return-To-Home altitude to 50m (164 ft). Data Recorder File Index is 82"
700,2023-03-09 04:55:14,-23.5067795961764,152.091496349106,0,,,1.066874,0.2,0,0.0213932,0.0434818,19,5,0,1.066874,0,0,0.0213932,0,0,0,327.4, 0.2, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
800,2023-03-09 04:55:14,-23.5067796104739,152.091496370047,0,,,1.066874,0.2,0,0.0237675,0.0461443,19,5,0,1.066874,0,0,0.0237675,0,0,0,327.4, 0.2, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
900,2023-03-09 04:55:14,-23.5067795890275,152.091496338234,0,,,1.066874,0.2,0,0.0202169,0.0501708,19,5,0,1.066874,0,0,0.0237675,0,0,0,327.4, 0.2, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,100,,,,,,,0,,1.066874,0,41,Motors_Started,
