Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2023/03/09 12:34:27.3364,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.41,24.56,69.7,25.22,2015/10/18,00:00:18,0,0,-17,0,
2023/03/09 12:34:27.5762,0.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.38,34,53,38,2023/03/09,01:46:01,152.0915215,-23.5066914,4.423,4,
2023/03/09 12:34:27.6062,0.270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,34.16,52.9,38.04,2023/03/09,01:46:02,152.0915228,-23.5066935,4.244,4,
2023/03/09 12:34:27.6362,0.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,34.59,53,38.13,2023/03/09,01:46:03,152.0915229,-23.5066929,4.298,4,
2023/03/09 12:34:27.6562,0.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,33.95,52.4,38,2023/03/09,01:46:03,152.0915226,-23.5066924,4.328,4,
2023/03/09 12:34:27.6862,0.350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,33.58,52.6,38,2023/03/09,01:46:04,152.0915238,-23.5066924,3.986,4,
2023/03/09 12:34:27.7160,0.380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.32,33.62,52.7,37.97,2023/03/09,01:46:05,152.0915227,-23.5066954,3.984,5,
2023/03/09 12:34:27.7361,0.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,33.87,52.7,38.02,2023/03/09,01:46:06,152.0915216,-23.5066975,4.195,5,
2023/03/09 12:34:27.7660,0.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,34,52.7,38.04,2023/03/09,01:46:07,152.0915207,-23.5067007,4.273,5,
2023/03/09 12:34:27.7960,0.460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,33.58,52.5,37.97,2023/03/09,01:46:08,152.0915194,-23.5067031,4.298,5,
2023/03/09 12:34:27.8160,0.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,33.62,52.6,38.03,2023/03/09,01:46:09,152.09152,-23.5067053,4.372,6,
2023/03/09 12:34:27.8461,0.510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,33.51,52.7,38.04,2023/03/09,01:46:10,152.0915202,-23.5067067,4.386,6,
2023/03/09 12:34:27.8660,0.530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,33.25,52.7,38.03,2023/03/09,01:46:11,152.0915193,-23.5067082,4.449,6,
2023/03/09 12:34:27.8961,0.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,33.67,53.1,38.1,2023/03/09,01:46:12,152.0915201,-23.5067097,4.294,6,
2023/03/09 12:34:27.9259,0.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,33.87,52.6,38.13,2023/03/09,01:46:13,152.0915222,-23.506711,4.075,6,
2023/03/09 12:34:27.9461,0.610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.27,33.97,52.4,38.21,2023/03/09,01:46:14,152.0915235,-23.5067127,4.085,6,
2023/03/09 12:34:27.9761,0.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,34.14,52.7,38.22,2023/03/09,01:46:15,152.0915233,-23.5067137,4.111,6,
2023/03/09 12:34:27.9960,0.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.28,34.43,53,38.28,2023/03/09,01:46:16,152.0915241,-23.5067129,3.743,6,
2023/03/09 12:34:28.0260,0.690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.26,34.82,52.3,38.4,2023/03/09,01:46:17,152.0915239,-23.50671,3.328,6,
2023/03/09 12:34:28.0559,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.25,34.97,51.8,38.5,2023/03/09,01:46:18,152.0915243,-23.5067074,3.024,6,
2023/03/09 12:34:28.0760,0.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.23,34.82,51.4,38.58,2023/03/09,01:46:19,152.0915251,-23.5067071,2.906,6,
2023/03/09 12:34:28.1060,0.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.31,34.76,51.4,38.62,2023/03/09,01:46:20,152.0915259,-23.5067092,2.667,6,
2023/03/09 12:34:28.1260,0.790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.29,34.48,51,38.65,2023/03/09,01:46:21,152.0915283,-23.5067078,2.613,6,
