"date","time","wind_alt","wspd","wd_char","day_local","dir","take_off","rad","u","v"
"01/03/2023",22:59:00,10,2.8,"E","20230302",90,"09",1.5707963267949,-2.8,0
"01/03/2023",NA,100,1.9,"E","20230302",90,"09",1.5707963267949,-1.9,0
"01/03/2023",NA,200,1.8,"E","20230302",90,"09",1.5707963267949,-1.8,0
"01/03/2023",NA,300,1.9,"E","20230302",90,"09",1.5707963267949,-1.9,0
"01/03/2023",NA,400,1.7,"E","20230302",90,"09",1.5707963267949,-1.7,0
"01/03/2023",23:02:00,500,1.9,"E","20230302",90,"09",1.5707963267949,-1.9,0
"01/03/2023",NA,600,2.5,"E","20230302",90,"09",1.5707963267949,-2.5,0
"01/03/2023",NA,700,2.7,"E","20230302",90,"09",1.5707963267949,-2.7,0
"01/03/2023",NA,800,2.6,"E","20230302",90,"09",1.5707963267949,-2.6,0
"01/03/2023",NA,900,3,"E","20230302",90,"09",1.5707963267949,-3,0
"01/03/2023",23:05:00,1000,3.5,"E","20230302",90,"09",1.5707963267949,-3.5,0
"01/03/2023",NA,1100,6.4,"E","20230302",90,"09",1.5707963267949,-6.4,0
"01/03/2023",NA,1200,5.6,"E","20230302",90,"09",1.5707963267949,-5.6,0
"01/03/2023",NA,1300,6.1,"E","20230302",90,"09",1.5707963267949,-6.1,0
"01/03/2023",NA,1400,6.3,"E","20230302",90,"09",1.5707963267949,-6.3,0
"01/03/2023",23:08:00,1500,6.1,"E","20230302",90,"09",1.5707963267949,-6.1,0
"02/03/2023",02:00:00,10,4.7,"ESE","20230302",112.5,"12",1.96349540849362,-4.342,1.799
"02/03/2023",NA,100,3.5,"ESE","20230302",112.5,"12",1.96349540849362,-3.234,1.339
"02/03/2023",NA,200,3.3,"ESE","20230302",112.5,"12",1.96349540849362,-3.049,1.263
"02/03/2023",NA,300,3.8,"ESE","20230302",112.5,"12",1.96349540849362,-3.511,1.454
"02/03/2023",NA,400,3.7,"ESE","20230302",112.5,"12",1.96349540849362,-3.418,1.416
"02/03/2023",02:03:00,500,3.5,"ESE","20230302",112.5,"12",1.96349540849362,-3.234,1.339
"02/03/2023",NA,600,3.1,"ESE","20230302",112.5,"12",1.96349540849362,-2.864,1.186
"02/03/2023",NA,700,2.6,"ESE","20230302",112.5,"12",1.96349540849362,-2.402,0.995
"02/03/2023",NA,800,3,"ESE","20230302",112.5,"12",1.96349540849362,-2.772,1.148
"02/03/2023",NA,900,4,"ESE","20230302",112.5,"12",1.96349540849362,-3.696,1.531
"02/03/2023",02:05:00,1000,4.3,"ESE","20230302",112.5,"12",1.96349540849362,-3.973,1.646
"02/03/2023",NA,1100,4.9,"ESE","20230302",112.5,"12",1.96349540849362,-4.527,1.875
"02/03/2023",NA,1200,5.4,"ESE","20230302",112.5,"12",1.96349540849362,-4.989,2.066
"02/03/2023",NA,1300,5.4,"SE","20230302",135,"12",2.35619449019234,-3.818,3.818
"02/03/2023",NA,1400,4.8,"SE","20230302",135,"12",2.35619449019234,-3.394,3.394
"02/03/2023",02:08:00,1500,4.7,"SE","20230302",135,"12",2.35619449019234,-3.323,3.323
"02/03/2023",05:00:00,10,5.2,"SE","20230302",135,"15",2.35619449019234,-3.677,3.677
"02/03/2023",NA,100,4.8,"SE","20230302",135,"15",2.35619449019234,-3.394,3.394
"02/03/2023",NA,200,4.4,"SE","20230302",135,"15",2.35619449019234,-3.111,3.111
"02/03/2023",NA,300,5.5,"SE","20230302",135,"15",2.35619449019234,-3.889,3.889
"02/03/2023",NA,400,4.4,"SE","20230302",135,"15",2.35619449019234,-3.111,3.111
"02/03/2023",05:03:00,500,4.9,"SE","20230302",135,"15",2.35619449019234,-3.465,3.465
"02/03/2023",NA,600,5,"SE","20230302",135,"15",2.35619449019234,-3.536,3.536
"02/03/2023",NA,700,4.5,"E","20230302",90,"15",1.5707963267949,-4.5,0
"02/03/2023",NA,800,5.3,"E","20230302",90,"15",1.5707963267949,-5.3,0
