WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WSx-UMB ID1 temperature [°C] Act;WSx-UMB ID1 dewpoint [°C] Act;WSx-UMB ID1 wind chill temp. [°C] Act;WSx-UMB ID1 wet bulb temperature [°C] Act;WSx-UMB ID1 relative humidity [%] Act;WSx-UMB ID1 absolut humidity [g/m³] Act;WSx-UMB ID1 mixing ratio [g/kg] Act;WSx-UMB ID1 specific enthalpy [kJ/kg] Act;WSx-UMB ID1 abs. air pressure [hPa] Act;WSx-UMB ID1 rel. air press.(QNH) [hPa] Act;WSx-UMB ID1 air density [kg/m³] Act;WSx-UMB ID1 wind speed [m/s] Act;WSx-UMB ID1 wind speed [m/s] Vct;WSx-UMB ID1 wind direction [°] Act;WSx-UMB ID1 wind direction [°] Vct;WSx-UMB ID1 precipitation absol. [mm] Act;WSx-UMB ID1 precipitation type [logic] Act;WSx-UMB ID1 precipitat.intensity [mm/h] Act;WSx-UMB ID1 global radiation [W/m²] Act
2023-03-09 00:00:05;26.8316;23.5585;28.8666;24.4619;82.3025;23.7910;18.3764;73.8508;1010.0620;1010.0620;1.1602;2.5667;2.6390;117.5478;118.4549;97.9400;    0;0.0000;788.7321
2023-03-09 00:00:35;26.9481;23.6781;28.7651;24.5747;82.3324;23.9524;18.5110;74.3150;1010.1823;1010.1823;1.1598;2.4986;2.3731;119.6289;118.1694;97.9400;    0;0.0000;774.1700
2023-03-09 00:01:05;26.9481;23.6781;28.8885;24.5747;82.3324;23.9524;18.5110;74.3150;1010.1823;1010.1823;1.1598;2.5539;2.5949;121.3964;119.0752;97.9400;    0;0.0000;787.7233
2023-03-09 00:01:35;26.8354;23.5147;28.8885;24.4129;82.0677;23.7280;18.3253;73.7243;1010.1315;1010.1315;1.1603;2.6089;2.5949;118.2653;119.0752;97.9400;    0;0.0000;796.2736
2023-03-09 00:02:05;26.8354;23.5147;28.7615;24.4129;82.0677;23.7280;18.3253;73.7243;1010.1315;1010.1315;1.1603;2.7072;2.4902;118.8581;117.4704;97.9400;    0;0.0000;800.8737
2023-03-09 00:02:35;26.8361;23.6047;28.7615;24.4926;82.5100;23.8569;18.4277;73.9861;1010.1409;1010.1409;1.1602;2.5675;2.4902;118.3990;117.4704;97.9400;    0;0.0000;804.0630
2023-03-09 00:03:05;26.8361;23.6047;28.7576;24.4926;82.5100;23.8569;18.4277;73.9861;1010.1409;1010.1409;1.1602;2.5322;2.5618;114.9225;119.8834;97.9400;    0;0.0000;811.9155
2023-03-09 00:03:35;27.0394;23.8671;28.7576;24.7160;82.8276;24.2178;18.7292;74.9667;1010.1672;1010.1672;1.1593;2.6599;2.5618;136.2135;119.8834;97.9400;    0;0.0000;812.1313
2023-03-09 00:04:05;27.0394;23.8671;28.9999;24.7160;82.8276;24.2178;18.7292;74.9667;1010.1672;1010.1672;1.1593;2.0547;2.5245;112.6600;126.1142;97.9400;    0;0.0000;810.4121
2023-03-09 00:04:35;27.2378;23.9819;28.9999;24.8554;82.4362;24.3671;18.8594;75.5053;1010.3402;1010.3402;1.1586;2.5426;2.5245;117.0707;126.1142;97.9400;    0;0.0000;815.4951
